date,tota consumption (mwh)
01/01/2004,26978358.02
01/02/2004,26508170.77
01/03/2004,27284329.41
01/04/2004,28046182.35
01/05/2004,27244506.48
01/06/2004,27082961.48
01/07/2004,27346004.67
01/08/2004,27656857.79
01/09/2004,28232451.24
01/10/2004,28556120.94
01/11/2004,28367124.05
01/12/2004,28562106.43
01/01/2005,28375437.44
01/02/2005,27838480.97
01/03/2005,28598631.51
01/04/2005,29355501.91
01/05/2005,28482150.61
01/06/2005,28326181.92
01/07/2005,28322317.12
01/08/2005,28764354.81
01/09/2005,29335128.08
01/10/2005,29145312.05
01/11/2005,29287617.22
01/12/2005,29505146.07
01/01/2006,28880910.62
01/02/2006,29383486.5
01/03/2006,29897827.73
01/04/2006,29887953.01
01/05/2006,28925038.56
01/06/2006,29068797.6
01/07/2006,29113809.23
01/08/2006,29886236.06
01/09/2006,29916630.54
01/10/2006,30143525.32
01/11/2006,30531121.36
01/12/2006,30493979.03
01/01/2007,30699704
01/02/2007,30324669
01/03/2007,31312900
01/04/2007,32030744
01/05/2007,31382917
01/06/2007,30766760
01/07/2007,30500299
01/08/2007,31181133
01/09/2007,31735736
01/10/2007,32135735
01/11/2007,32654491
01/12/2007,32304926
01/01/2008,31855946.27
01/02/2008,31730940.65
01/03/2008,32118714.86
01/04/2008,31952656.29
01/05/2008,32299963.39
01/06/2008,31742987.79
01/07/2008,32150352.03
01/08/2008,33013528.63
01/09/2008,32964086.69
01/10/2008,33673777.38
01/11/2008,33410166.51
01/12/2008,31559278.49
01/01/2009,30666661.8
01/02/2009,30495142.71
01/03/2009,31977749.51
01/04/2009,32042792.8
01/05/2009,30945452.9
01/06/2009,30715169.95
01/07/2009,31324991.23
01/08/2009,32262205.6
01/09/2009,32716665.81
01/10/2009,33419533.14
01/11/2009,33616820.2
01/12/2009,34123194.7
01/01/2010,33360460.71
01/02/2010,33729757.75
01/03/2010,35116881.82
01/04/2010,35025860.49
01/05/2010,34296978
01/06/2010,34169459
01/07/2010,33849349
01/08/2010,34713394.23
01/09/2010,35182271.01
01/10/2010,35188924.99
01/11/2010,35077981.26
01/12/2010,35956439.4
01/01/2011,35873744.26
01/02/2011,35444916.66
01/03/2011,36350690.05
01/04/2011,36048318.05
01/05/2011,35565987.39
01/06/2011,35159573.72
01/07/2011,35417292.62
01/08/2011,36335812.84
01/09/2011,36965189.34
01/10/2011,36743770.38
01/11/2011,36368389.77
01/12/2011,36741948.78
01/01/2012,36305167.29
01/02/2012,36888068.02
01/03/2012,38635573.72
01/04/2012,37995869.09
01/05/2012,36810191.03
01/06/2012,36528393.11
01/07/2012,35917147.2
01/08/2012,37179602.53
01/09/2012,37661696.12
01/10/2012,37796014.07
01/11/2012,38643584.23
01/12/2012,37765084.44
01/01/2013,38366809.74
01/02/2013,38001415.72
01/03/2013,38442191.55
01/04/2013,38653663.43
01/05/2013,38344861.57
01/06/2013,37627698.01
01/07/2013,37697945.03
01/08/2013,38613276.26
01/09/2013,38524724.16
01/10/2013,39389004.38
01/11/2013,39920289.54
01/12/2013,39556378.24
01/01/2014,40279759
01/02/2014,41653487
01/03/2014,40315392
01/04/2014,39550251
01/05/2014,39100499
01/06/2014,37726472.88
01/07/2014,37765729
01/08/2014,38651774
01/09/2014,38894976
01/10/2014,40100440.59
01/11/2014,40950726.39
01/12/2014,39838307.03
01/01/2015,40713926.53
01/02/2015,40671899.36
01/03/2015,39719130.39
01/04/2015,39551618.3
01/05/2015,38158638.34
01/06/2015,37219095.83
01/07/2015,36776326.29
01/08/2015,37806757.11
01/09/2015,37786244.6
01/10/2015,39230267.57
01/11/2015,39174936.37
01/12/2015,38620834.36
01/01/2016,38408542.1
01/02/2016,38733769.57
01/03/2016,39451889.24
01/04/2016,40276231.08
01/05/2016,38652561.58
01/06/2016,37557220.23
01/07/2016,37261270.92
01/08/2016,37698998.25
01/09/2016,38351221.93
01/10/2016,38204182.24
01/11/2016,38759185.06
01/12/2016,38782644.98
01/01/2017,39358019.58
01/02/2017,38847236.49
01/03/2017,40552671.16
01/04/2017,39436572.29
01/05/2017,38159955.32
01/06/2017,38119592.09
01/07/2017,37283447.16
01/08/2017,37867561.85
01/09/2017,39013960.43
01/10/2017,39351761.02
01/11/2017,39833033.26
01/12/2017,39610218.91
01/01/2018,40058305.8
01/02/2018,39174100.75
01/03/2018,41112932.62
01/04/2018,40697563.25
01/05/2018,39267849.55
01/06/2018,38207689.97
01/07/2018,38515114.91
01/08/2018,39056711.43
01/09/2018,39046236.54
01/10/2018,40402554.07
01/11/2018,40414059.5
01/12/2018,40033442.07
01/01/2019,41654959.99
01/02/2019,41170919.41
01/03/2019,41155262.42
01/04/2019,39731356.76
01/05/2019,40487228.46
01/06/2019,38448963.43
01/07/2019,38353669.27
01/08/2019,38649212.87
01/09/2019,39269725.02
01/10/2019,41075150.13
01/11/2019,41779611.56
01/12/2019,40810007.45
01/01/2020,41337389.01
01/02/2020,40969701.87
01/03/2020,41146409.02
01/04/2020,37272076.86
01/05/2020,36129788.54
01/06/2020,35774623.7
01/07/2020,37874852.13
01/08/2020,39250276.9
01/09/2020,40360042.65
01/10/2020,42931283.5
01/11/2020,41438765.79
01/12/2020,42169432.53
01/01/2021,43096037.67
01/02/2021,41509691.26
01/03/2021,43665326.19
01/04/2021,42661169.91
01/05/2021,40787549.36
01/06/2021,40431952.48
01/07/2021,40193664.26
01/08/2021,40911954.19
01/09/2021,41954693.85
01/10/2021,42599101.36
01/11/2021,41871415.24
01/12/2021,42919032.51
01/01/2022,42532777.87
01/02/2022,41849012.05
01/03/2022,44674109.1
01/04/2022,43210889.35
01/05/2022,42050078.25
01/06/2022,40938719.92
01/07/2022,41232665.22
01/08/2022,42119985.73
01/09/2022,42318487.22
01/10/2022,42519140.86
01/11/2022,42712580.35
01/12/2022,43230182.7
01/01/2023,42545392.85
01/02/2023,43021362.15
01/03/2023,45723196.96
01/04/2023,44884947.13
01/05/2023,43164877.95
01/06/2023,42657704.4
01/07/2023,42014780.66
01/08/2023,43431147.92
01/09/2023,44477536.5
01/10/2023,46075109.58
01/11/2023,46681036.14
01/12/2023,47223253.34
01/01/2024,46844166.67
01/02/2024,46318627.08
01/03/2024,47837268.44
01/04/2024,47350865.66
01/05/2024,47050366.66
01/06/2024,45555739.31
01/07/2024,44802602.8
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
