Year,Month,Day,Hour,Week,Consumption
2022,1,1,1,52,10632.43
2022,1,1,2,52,10293.919
2022,1,1,3,52,10054.002
2022,1,1,4,52,9923.824
2022,1,1,5,52,9874.103
2022,1,1,6,52,9964.228
2022,1,1,7,52,10149.433
2022,1,1,8,52,10269.309
2022,1,1,9,52,10517.128
2022,1,1,10,52,10620.064
2022,1,1,11,52,10813.733
2022,1,1,12,52,10974.644
2022,1,1,13,52,11091.977
2022,1,1,14,52,11108.23
2022,1,1,15,52,11182.346
2022,1,1,16,52,11474.444
2022,1,1,17,52,11893.58
2022,1,1,18,52,12079.794
2022,1,1,19,52,12195.679
2022,1,1,20,52,12153.178
2022,1,1,21,52,11935.041
2022,1,1,22,52,11588.961
2022,1,1,23,52,11784.591
2022,1,1,24,52,11696.907
2022,1,2,1,52,11258.98
2022,1,2,2,52,10896.587
2022,1,2,3,52,10662.82
2022,1,2,4,52,10526.188
2022,1,2,5,52,10563.953
2022,1,2,6,52,10701.809
2022,1,2,7,52,10844.443
2022,1,2,8,52,10833.199
2022,1,2,9,52,11100.049
2022,1,2,10,52,11192.343
2022,1,2,11,52,11345.831
2022,1,2,12,52,11474.235
2022,1,2,13,52,11439.903
2022,1,2,14,52,11363.659
2022,1,2,15,52,11444.026
2022,1,2,16,52,11635.764
2022,1,2,17,52,11862.883
2022,1,2,18,52,11938.664
2022,1,2,19,52,11951.03
2022,1,2,20,52,11889.304
2022,1,2,21,52,11633.983
2022,1,2,22,52,11217.873
2022,1,2,23,52,11449.711
2022,1,2,24,52,11285.87
2022,1,3,1,1,10944.021
2022,1,3,2,1,10575.155
2022,1,3,3,1,10407.249
2022,1,3,4,1,10297.194
2022,1,3,5,1,10421.481
2022,1,3,6,1,10740.384
2022,1,3,7,1,11463.471
2022,1,3,8,1,11833.995
2022,1,3,9,1,12151.3
2022,1,3,10,1,12167.393
2022,1,3,11,1,12156.869
2022,1,3,12,1,12228.313
2022,1,3,13,1,12240.382
2022,1,3,14,1,12201.65
2022,1,3,15,1,12163.378
2022,1,3,16,1,12284.054
2022,1,3,17,1,12408.51
2022,1,3,18,1,12310.982
2022,1,3,19,1,12200.124
2022,1,3,20,1,12159.581
2022,1,3,21,1,11951.669
2022,1,3,22,1,11532.95
2022,1,3,23,1,11600.711
