date,y
1/1/2015,1111.336
1/2/2015,1300.884
1/3/2015,1265.271
1/4/2015,1198.854
1/5/2015,1449.861
1/6/2015,1452.891
1/7/2015,1569.872
1/8/2015,1586.974
1/9/2015,1563.293
1/10/2015,1331.448
1/11/2015,1262.161
1/12/2015,1582.066
1/13/2015,1574.302
1/14/2015,1593.682
1/15/2015,1602.404
1/16/2015,1565.32
1/17/2015,1354.801
1/18/2015,1267.489
1/19/2015,1594.869
1/20/2015,1629.73
1/21/2015,1632.146
1/22/2015,1636.978
1/23/2015,1616.264
1/24/2015,1402.911
1/25/2015,1290.655
1/26/2015,1611.883
1/27/2015,1620.565
1/28/2015,1626.164
1/29/2015,1620.04
1/30/2015,1587.346
1/31/2015,1360.551
2/1/2015,1273.828
2/2/2015,1608.68
2/3/2015,1639.26
2/4/2015,1651.314
2/5/2015,1647.357
2/6/2015,1620.507
2/7/2015,1408.553
2/8/2015,1296.855
2/9/2015,1618.607
2/10/2015,1626.864
2/11/2015,1623.086
2/12/2015,1619.396
2/13/2015,1583.173
2/14/2015,1359.135
2/15/2015,1261.167
2/16/2015,1536.78
2/17/2015,1600.019
2/18/2015,1611.379
2/19/2015,1607.741
2/20/2015,1571.017
2/21/2015,1345.913
2/22/2015,1256.938
2/23/2015,1592.656
2/24/2015,1604.991
2/25/2015,1585.249
2/26/2015,1579.35
2/27/2015,1569.187
2/28/2015,1340.489
3/1/2015,1235.836
3/2/2015,1546.866
3/3/2015,1570.639
3/4/2015,1579.064
3/5/2015,1573.558
3/6/2015,1547.83
3/7/2015,1317.425
3/8/2015,1182.494
3/9/2015,1496.531
3/10/2015,1537.668
3/11/2015,1530.601
3/12/2015,1536.444
3/13/2015,1524.474
3/14/2015,1320.247
3/15/2015,1212.893
3/16/2015,1507.519
3/17/2015,1506.485
3/18/2015,1498.96
3/19/2015,1508.011
3/20/2015,1490.008
3/21/2015,1304.469
3/22/2015,1196.051
3/23/2015,1500.293
3/24/2015,1518.172
3/25/2015,1508.028
3/26/2015,1521.241
3/27/2015,1499.701
3/28/2015,1274.136
3/29/2015,1187.673
3/30/2015,1500.454
3/31/2015,1517.419
4/1/2015,1531.944
4/2/2015,1506.147
4/3/2015,1174.095
4/4/2015,1193.274
4/5/2015,1084.83
4/6/2015,1122.724
4/7/2015,1464.286
4/8/2015,1476.07
4/9/2015,1448.204
4/10/2015,1420.437
4/11/2015,1230.603
4/12/2015,1122.555
4/13/2015,1444.641
4/14/2015,1463.975
4/15/2015,1455.666
